Date,Open,High,Low,Close,Adj Close,Volume
2020-10-09,4.620000,4.630000,4.570000,4.590000,4.590000,162500
2020-10-12,4.630000,4.650000,4.610000,4.640000,4.640000,105300
2020-10-13,4.640000,4.650000,4.620000,4.630000,4.630000,82100
2020-10-14,4.640000,4.640000,4.600000,4.610000,4.610000,77300
2020-10-15,4.570000,4.600000,4.560000,4.600000,4.600000,86500
2020-10-16,4.620000,4.670000,4.620000,4.660000,4.660000,75300
2020-10-19,4.660000,4.690000,4.630000,4.630000,4.630000,72700
2020-10-20,4.630000,4.650000,4.630000,4.630000,4.630000,67200
2020-10-21,4.670000,4.720000,4.670000,4.710000,4.710000,101500
2020-10-22,4.690000,4.700000,4.660000,4.680000,4.680000,79000
2020-10-23,4.730000,4.740000,4.710000,4.730000,4.730000,85600
2020-10-26,4.690000,4.690000,4.620000,4.660000,4.660000,79700
2020-10-27,4.670000,4.700000,4.660000,4.680000,4.680000,198500
2020-10-28,4.620000,4.660000,4.480000,4.520000,4.520000,590500
2020-10-29,4.530000,4.530000,4.480000,4.480000,4.480000,259400
2020-10-30,4.440000,4.520000,4.430000,4.460000,4.460000,671200
2020-11-02,4.590000,4.630000,4.580000,4.630000,4.630000,167500
2020-11-03,4.690000,4.810000,4.650000,4.770000,4.770000,616000
2020-11-04,4.710000,4.760000,4.690000,4.700000,4.700000,166500
2020-11-05,4.750000,4.800000,4.750000,4.760000,4.760000,100800
2020-11-06,4.820000,4.850000,4.800000,4.820000,4.820000,85800
2020-11-09,5.030000,5.070000,4.940000,4.940000,4.940000,322200
2020-11-10,5.040000,5.140000,5.030000,5.120000,5.120000,209000
2020-11-11,5.130000,5.160000,5.120000,5.120000,5.120000,139500
2020-11-12,4.940000,4.960000,4.900000,4.900000,4.900000,191800
2020-11-13,4.850000,4.930000,4.830000,4.900000,4.900000,105400
2020-11-16,4.990000,5.000000,4.960000,4.980000,4.980000,103900
2020-11-17,5.030000,5.120000,5.030000,5.100000,5.100000,128300
2020-11-18,5.040000,5.080000,4.990000,4.990000,4.990000,108700
2020-11-19,4.930000,4.960000,4.910000,4.960000,4.960000,85300
2020-11-20,4.950000,4.970000,4.930000,4.960000,4.960000,79700
2020-11-23,5.010000,5.030000,4.970000,5.000000,5.000000,276900
2020-11-24,5.100000,5.160000,5.100000,5.140000,5.140000,150100
2020-11-25,5.140000,5.160000,5.130000,5.150000,5.150000,81100
2020-11-27,5.190000,5.190000,5.140000,5.160000,5.160000,77700
2020-11-30,5.110000,5.130000,5.010000,5.010000,5.010000,146700
2020-12-01,5.250000,5.320000,5.240000,5.310000,5.310000,161800
2020-12-02,5.360000,5.410000,5.350000,5.410000,5.410000,89800
2020-12-03,5.380000,5.420000,5.330000,5.390000,5.390000,150600
2020-12-04,5.420000,5.460000,5.410000,5.450000,5.450000,152900
2020-12-07,5.320000,5.340000,5.280000,5.310000,5.310000,173000
2020-12-08,5.300000,5.310000,5.260000,5.290000,5.290000,136200
2020-12-09,5.250000,5.250000,5.190000,5.220000,5.220000,115200
2020-12-10,5.260000,5.300000,5.250000,5.300000,5.300000,88400
2020-12-11,5.300000,5.310000,5.250000,5.290000,5.290000,95000
2020-12-14,5.250000,5.280000,5.220000,5.230000,5.230000,151500
2020-12-15,5.210000,5.230000,5.180000,5.220000,5.220000,142400
2020-12-16,5.220000,5.240000,5.210000,5.220000,5.220000,98800
2020-12-17,5.220000,5.230000,5.210000,5.220000,5.220000,54100
2020-12-18,5.200000,5.200000,5.170000,5.170000,5.170000,120300
