date,close,open,high,low,volume
02-12-2020,568.820007,556.440002,571.539978,541.210022,47775700
03-12-2020,593.380005,590.02002,598.969971,582.429993,42552000
04-12-2020,599.039978,591.01001,599.039978,585.5,29401300
07-12-2020,641.76001,604.919983,648.789978,603.049988,56309700
08-12-2020,649.880005,625.51001,651.280029,618.5,64265000
09-12-2020,604.47998,653.690002,654.320007,588,71291200
10-12-2020,627.070007,574.369995,627.75,566.340027,67083200
11-12-2020,609.98999,615.01001,624,596.799988,46475000
14-12-2020,639.830017,619,642.75,610.200012,52040600
15-12-2020,633.25,643.280029,646.900024,623.799988,45223600
16-12-2020,622.77002,628.22998,632.5,605,42095800
17-12-2020,655.900024,628.190002,658.820007,619.5,56270100
18-12-2020,695,668.900024,695,628.539978,222126200
21-12-2020,649.859985,666.23999,668.5,646.070007,58045300
22-12-2020,640.340027,648,649.880005,614.22998,51716000
23-12-2020,645.97998,632.200012,651.5,622.570007,33173000
24-12-2020,661.77002,642.98999,666.090027,641,22865600
28-12-2020,663.690002,674.51001,681.400024,660.799988,32278600
29-12-2020,665.98999,661,669.900024,655,22910800
30-12-2020,694.780029,672,696.599976,668.359985,42846000
31-12-2020,705.669983,699.98999,718.719971,691.119995,49649900
04-01-2021,729.77002,719.460022,744.48999,717.190002,48638200
05-01-2021,735.109985,723.659973,740.840027,719.200012,32245200
06-01-2021,755.97998,758.48999,774,749.099976,44700000
07-01-2021,816.039978,777.630005,816.98999,775.200012,51498900
08-01-2021,880.02002,856,884.48999,838.390015,75055500
11-01-2021,811.190002,849.400024,854.429993,803.619995,59554100
12-01-2021,849.440002,831,868,827.340027,46270700
13-01-2021,854.409973,852.76001,860.469971,832,33312500
14-01-2021,845,843.390015,863,838.75,31266300
15-01-2021,826.159973,852,859.900024,819.099976,38777600
19-01-2021,844.549988,837.799988,850,833,25367000
20-01-2021,850.450012,858.73999,859.5,837.280029,25665900
21-01-2021,844.98999,855,855.719971,841.419983,20598100
22-01-2021,846.640015,834.309998,848,828.619995,20066500
25-01-2021,880.799988,855,900.400024,838.820007,41173400
26-01-2021,883.090027,891.380005,895.900024,871.599976,23131600
27-01-2021,864.159973,870.349976,891.5,858.659973,27334000
28-01-2021,835.429993,820,848,801,26378000
29-01-2021,793.530029,830,842.409973,780.099976,34990800
01-02-2021,839.809998,814.289978,842,795.559998,25391400
02-02-2021,872.789978,844.679993,880.5,842.200012,24346200
03-02-2021,854.690002,877.02002,878.080017,853.059998,18343500
04-02-2021,849.98999,855,856.5,833.419983,15812700
05-02-2021,852.22998,845,864.77002,838.969971,18524800
08-02-2021,863.419983,869.669983,877.77002,854.75,20161700
09-02-2021,849.460022,855.119995,859.799988,841.75,15157700
10-02-2021,804.820007,843.640015,844.820007,800.02002,36216100
11-02-2021,811.659973,812.440002,829.880005,801.72998,21580700
12-02-2021,816.119995,801.26001,817.330017,785.330017,23701700
16-02-2021,796.219971,818,821,792.440002,19802300
17-02-2021,798.150024,779.090027,799.840027,762.01001,25996500
18-02-2021,787.380005,780.900024,794.690002,776.27002,17957100
19-02-2021,781.299988,795,796.789978,777.369995,18958300
22-02-2021,714.5,762.640015,768.5,710.200012,37269700
23-02-2021,698.840027,662.130005,713.609985,619,66606900
24-02-2021,742.02002,711.849976,745,694.169983,36767000
25-02-2021,682.219971,726.150024,737.210022,670.580017,39023900
26-02-2021,675.5,700,706.700012,659.51001,41011300
01-03-2021,718.429993,690.109985,719,685.049988,27009700
02-03-2021,686.440002,718.280029,721.109985,685,23617600
03-03-2021,653.200012,687.98999,700.700012,651.710022,29957200
04-03-2021,621.440002,655.799988,873.940002,600,65448500
05-03-2021,597.950012,626.059998,627.840027,539.48999,89300300
08-03-2021,578.879272,600.549988,620.090576,565,40198356
